Roll Number,Gender,10th Score(%),12th Score(%),CGPA(%),QUIZ 1 ,QUIZ 2 ,QUIZ 3 ,QUIZ 4 ,QUIZ 5,QUIZ 6,AVG,QUIZ Attempt,Attendance,Aim/Objective,Prior Knowledge of subject,Resource Visited,No. of Replies Posted,No. of views on forum,Class
101,1,90,92,89.58,83.33333333,100,100,0,80,75.76,73.18222222,5,6,3,5,5,0,6,c1
102,1,87,91,87.56,91.66666667,100,76.67,70,0,87.88,71.03611111,5,9,2,2,1,0,3,c1
103,1,93,85,81.22,83.33333333,66.66666667,0,0,0,83.33,38.88833333,3,3,3,4,4,0,0,c2
104,1,93.8,94.2,85.04,91.66666667,91.66666667,80,80,70,0,68.88888889,5,5,2,3,4,1,16,c1
106,1,96.2,92.4,79.5,79.16666667,91.66666667,90,0,80,81.82,70.44222222,5,0,3,2,2,0,3,c1
107,0,93.2,75.8,77.23,83.33333333,100,100,80,90,74.24,87.92888889,6,7,2,4,4,1,30,c1
108,1,84,74,71.6,70.83333333,83.33333333,30,90,90,63.64,71.30111111,6,5,1,3,3,0,8,c1
110,1,88.42,89.8,71.94,79.16666667,58.33333333,36.67,40,40,63.13,52.88333333,6,0,2,3,2,1,8,c2
111,0,94.3,89.8,80.42,83.33333333,83.33333333,0,90,70,81.82,68.08111111,5,1,3,2,3,0,10,c1
112,1,93,90,84.04,87.5,100,70,90,70,83.84,83.55666667,6,4,2,3,4,1,15,c1
113,0,79,83.9,66.9,100,100,100,90,70,66.67,87.77833333,6,0,2,3,3,0,2,c1
114,0,93,90,79.25,70.83333333,95.83333333,60,0,40,75.76,57.07111111,5,8,2,3,4,1,17,c2
115,1,78,84,77.5,100,54.16666667,86.67,60,70,62.63,72.24444445,6,5,3,4,4,0,0,c1
116,1,91,90,80.75,79.16666667,58.33333333,26.67,90,40,0,49.02833333,5,3,2,1,4,0,4,c2
117,0,83,91,84.8,91.66666667,91.66666667,100,100,90,66.67,90.00055556,6,6,2,4,3,0,32,c1
118,0,87.4,66.8,67.07,70.83333333,58.33333333,33.33,60,40,59.6,53.68277778,6,3,3,4,4,1,13,c2
119,0,96.6,85,79.5,91.66666667,83.33333333,0,80,70,75.76,66.79333333,5,4,1,3,3,0,0,c1
120,0,82,82,77.04,95.83333333,100,90,70,40,57.58,75.56888889,6,1,3,3,4,0,0,c1
121,0,73.6,80.2,80.26,91.66666667,100,3.33,90,80,83.84,74.80611111,6,7,2,5,4,1,36,c1
122,1,89,88,93.1,83.33333333,100,43.33,80,70,80.3,76.16055556,6,7,2,1,3,0,4,c1
123,1,68,60,66,91.66666667,58.33333333,0,0,0,0,25,2,3,3,3,4,0,0,c2
124,0,95,91,80.68,95.83333333,100,100,100,70,74.24,90.01222222,6,1,2,3,4,1,19,c1
125,0,90.6,90.2,82.78,83.33333333,91.66666667,100,90,80,75.25,86.70833333,6,2,1,2,4,2,36,c1
126,0,90.2,87,88,79.16666667,100,66.67,90,70,69.19,79.17111111,6,6,2,3,4,1,39,c1
127,1,58,66,72.78,91.66666667,100,100,80,80,78.79,88.40944445,6,8,2,4,4,1,20,c1
128,0,96.6,95.2,92.6,87.5,100,90,90,90,84.85,90.39166667,6,3,1,3,5,1,36,c1
129,1,88.33,86.4,79.42,83.33333333,91.66666667,100,100,80,75.76,88.46,6,2,2,4,4,2,35,c1
130,1,74.4,64.4,73.62,91.66666667,100,60,90,70,81.82,82.24777778,6,6,3,3,3,0,3,c1
131,0,90.06,90.06,82.36,75,91.66666667,93.33,0,90,81.82,71.96944445,5,4,1,2,3,1,10,c1
132,1,86,70,71.94,58.33333333,75,26.67,70,70,63.13,60.52222222,6,0,3,3,3,0,5,c2
133,1,83.4,78.4,77.82,75,91.66666667,0,0,90,0,42.77777778,3,5,1,3,2,0,0,c2
134,0,90,92,79.75,87.5,91.66666667,70,80,70,84.85,80.66944445,6,5,3,2,4,0,0,c1
135,0,93.8,89.2,82.02,91.66666667,83.33333333,100,100,70,75.76,86.79333333,6,7,3,1,2,1,24,c1
136,0,69.2,70.4,72.36,83.33333333,91.66666667,80,90,60,68.18,78.86333333,6,4,2,5,3,1,35,c1
137,0,80,79,78,58.33333333,91.66666667,93.33,90,80,75.76,81.515,6,7,3,4,4,0,0,c1
138,0,92,73,79.46,87.5,58.33333333,20,0,60,0,37.63888889,4,1,1,2,4,0,5,c2
139,0,95,85,82.86,100,91.66666667,50,60,90,63.64,75.88444445,6,6,2,2,4,1,35,c1
140,0,91,90.6,83.2,87.5,83.33333333,60,80,80,74.24,77.51222222,6,3,2,4,4,0,5,c1
141,1,84,75,76,91.66666667,50,100,80,60,60.61,73.71277778,6,8,1,3,3,0,7,c1
142,0,89.8,87,86.8,87.5,75,0,0,0,0,27.08333333,2,1,3,4,4,0,0,c2
143,1,89,87,76.9,91.66666667,100,100,100,90,86.36,94.67111111,6,11,2,4,4,1,19,c1
144,1,89,90,77.9,66.66666667,58.33333333,70,90,80,75.76,73.46,6,2,2,4,4,1,19,c1
147,1,95,92.8,72.78,91.66666667,100,100,80,90,78.79,90.07611111,6,3,3,3,3,0,6,c1
148,1,80,76,71.25,75,91.66666667,80,90,50,65.15,75.30277778,6,7,3,4,4,1,11,c1
149,0,92.6,92.4,85.21,66.66666667,33.33333333,21.67,60,0,0,30.27833333,4,2,1,4,4,0,0,c2
150,0,85.86,76.6,75.47,62.5,75,30,50,0,62.63,46.68833333,5,9,3,2,3,1,17,c2
151,1,92,90,78.74,83.33333333,83.33333333,100,70,0,75.76,68.73777778,5,1,2,3,3,1,22,c1
153,0,94,86,84.7,75,100,90,0,90,90.91,74.31833333,5,5,1,3,4,1,28,c1
154,0,94.6,90.4,77.32,70.83333333,83.33333333,80,100,60,66.67,76.80611111,6,6,1,3,4,1,23,c1
155,1,95,90,82,91.66666667,83.33333333,0,80,80,66.67,66.945,5,0,2,1,2,0,7,c1
156,1,91,86,75,79.16666667,91.66666667,90,90,70,83.33,84.02722222,6,0,3,2,4,0,3,c1
157,1,91,89,67,83.33333333,83.33333333,41.67,100,70,55.05,72.23111111,6,0,2,3,4,0,12,c1
158,1,87,89,89,87.5,91.66666667,60,90,70,81.82,80.16444445,6,9,2,3,4,0,3,c1
159,1,91.8,91.4,9.11,83.33333333,91.66666667,3.33,80,70,69.7,66.33833333,6,7,3,4,4,0,4,c2
160,0,87.6,88.2,82.94,79.16666667,91.66666667,60,80,90,78.79,79.93722222,6,4,1,3,2,1,14,c1
161,1,88,76,73.62,66.66666667,83.33333333,0,80,90,60.61,63.435,5,2,3,2,3,1,26,c1
166,1,95,86,86,87.56666667,75,20,60,80,71.21,65.62944445,6,6,1,3,5,1,15,c1
